LocationID,StateAbbr,StateDesc,LocationName,TotalPopulation,Geolocation,States,Counties
54051,WV,West Virginia,Marshall,30103,POINT (-80.6717944 39.8544259),42.0,2836.0
54033,WV,West Virginia,Harrison,66870,POINT (-80.3864982 39.279182),42.0,855.0
54097,WV,West Virginia,Upshur,24230,POINT (-80.2316057 38.9025302),42.0,2898.0
54087,WV,West Virginia,Roane,13482,POINT (-81.3544939 38.7429497),42.0,2894.0
54083,WV,West Virginia,Randolph,28387,POINT (-79.8677881 38.7810953),42.0,2892.0
54023,WV,West Virginia,Grant,11510,POINT (-79.195064 39.1059882),42.0,2804.0
54091,WV,West Virginia,Taylor,16699,POINT (-80.0465539 39.3324778),42.0,2895.0
54025,WV,West Virginia,Greenbrier,34319,POINT (-80.4505897 37.9244177),42.0,2805.0
54005,WV,West Virginia,Boone,21055,POINT (-81.7135382 38.0228143),42.0,2748.0
54037,WV,West Virginia,Jefferson,57486,POINT (-77.86322 39.3073985),42.0,2831.0
54063,WV,West Virginia,Monroe,13229,POINT (-80.5503295 37.5540622),42.0,2863.0
54093,WV,West Virginia,Tucker,6816,POINT (-79.5599678 39.1111751),42.0,2896.0
54017,WV,West Virginia,Doddridge,8368,POINT (-80.7114979 39.2643068),42.0,2802.0
54107,WV,West Virginia,Wood,82938,POINT (-81.516234 39.2116023),42.0,2933.0
53073,WA,Washington,Whatcom,231016,POINT (-121.8364325 48.8426531),6.0,2744.0
53035,WA,Washington,Kitsap,272787,POINT (-122.6496339 47.6395948),,848.0
53011,WA,Washington,Clark,496865,POINT (-122.4859533 45.7717295),6.0,2977.0
53031,WA,Washington,Jefferson,32700,POINT (-123.5270572 47.8057075),6.0,3008.0
53037,WA,Washington,Kittitas,49204,POINT (-120.6767092 47.1244411),6.0,3194.0
53009,WA,Washington,Clallam,78067,POINT (-123.8898599 48.1109034),6.0,2976.0
53075,WA,Washington,Whitman,49500,POINT (-117.5353898 46.9059441),6.0,2745.0
53049,WA,Washington,Pacific,22984,POINT (-123.7824193 46.5565866),6.0,3208.0
53015,WA,Washington,Cowlitz,111371,POINT (-122.6784596 46.1967854),6.0,2978.0
53023,WA,Washington,Garfield,2290,POINT (-117.5367052 46.4293176),6.0,941.0
53019,WA,Washington,Ferry,7759,POINT (-118.5335894 48.4732563),6.0,2980.0
53055,WA,Washington,San Juan,17492,POINT (-123.1037693 48.5071904),,3211.0
53067,WA,Washington,Thurston,294074,POINT (-122.8301524 46.9358216),6.0,2742.0
53071,WA,Washington,Walla Walla,61292,POINT (-118.4803697 46.2546057),6.0,2743.0
53047,WA,Washington,Okanogan,42620,POINT (-119.7422347 48.5484533),6.0,3198.0
53061,WA,Washington,Snohomish,830393,POINT (-121.7650375 48.054913),6.0,3213.0
53043,WA,Washington,Lincoln,11090,POINT (-118.4176925 47.5827433),6.0,3197.0
53057,WA,Washington,Skagit,130789,POINT (-121.8157703 48.4932917),6.0,3212.0
53005,WA,Washington,Benton,206426,POINT (-119.5166594 46.2281252),6.0,2955.0
53027,WA,Washington,Grays Harbor,75950,POINT (-123.8267349 47.1137324),6.0,2983.0
53065,WA,Washington,Stevens,46360,POINT (-117.8544548 48.3887277),6.0,2741.0
53041,WA,Washington,Lewis,82109,POINT (-122.3774443 46.5800714),6.0,3196.0
53077,WA,Washington,Yakima,251879,POINT (-120.7401446 46.4565581),6.0,2746.0
53045,WA,Washington,Mason,68224,POINT (-123.1731033 47.3508322),6.0,849.0
53051,WA,Washington,Pend Oreille,14144,POINT (-117.2321913 48.5438247),6.0,3209.0
53053,WA,Washington,Pierce,913890,POINT (-122.1532402 47.0514128),6.0,3210.0
53063,WA,Washington,Spokane,528225,POINT (-117.4033714 47.6203752),6.0,3214.0
53039,WA,Washington,Klickitat,22697,POINT (-120.7793049 45.8704463),6.0,3195.0
53017,WA,Washington,Douglas,43560,POINT (-119.6946219 47.7417625),6.0,2979.0
53059,WA,Washington,Skamania,12107,POINT (-121.9532319 46.0247853),6.0,850.0
53001,WA,Washington,Adams,20027,POINT (-118.5128614 47.0112378),6.0,2953.0
53007,WA,Washington,Chelan,77574,POINT (-120.619041 47.8609739),6.0,2956.0
53013,WA,Washington,Columbia,4048,POINT (-117.9116345 46.2928505),6.0,940.0
53029,WA,Washington,Island,86014,POINT (-122.6706492 48.1585538),,3007.0
53021,WA,Washington,Franklin,97075,POINT (-118.9038912 46.5375019),6.0,2981.0
53025,WA,Washington,Grant,99377,POINT (-119.467788 47.2136328),6.0,2982.0
53003,WA,Washington,Asotin,22820,POINT (-117.2277813 46.1818612),6.0,2954.0
53033,WA,Washington,King,2274315,POINT (-121.8339765 47.4905518),6.0,3009.0
53069,WA,Washington,Wahkiakum,4498,POINT (-123.4244583 46.2946377),6.0,851.0
51147,VA,Virginia,Prince Edward,23006,POINT (-78.4329574 37.2248813),40.0,2848.0
51139,VA,Virginia,Page,23933,POINT (-78.4918718 38.6232085),40.0,2845.0
51015,VA,Virginia,Augusta,76544,POINT (-79.1409749 38.1725895),40.0,2752.0
51193,VA,Virginia,Westmoreland,18149,POINT (-76.8039326 38.109311),40.0,2901.0
